Close,High,Low,Open,Volume,predict_t1,predict_t3,predict_t8
BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,
36947.3671875,37504.33984375,36761.171875,37189.3671875,0,,,
36906.8515625,36974.8359375,36747.6796875,36917.78515625,0,,,
36991.43359375,37109.39453125,36779.96875,36901.9609375,61929472,,,
36963.56640625,37167.1015625,36866.1328125,36983.9453125,442103808,,,
36815.2265625,37025.53515625,36750.57421875,36938.578125,82348032,,,
36394.49609375,36891.515625,36394.49609375,36830.93359375,536483840,,,
35826.34375,36381.3984375,35826.34375,36381.3984375,1521143808,,,
36105.0390625,36146.75,35670.97265625,35756.5546875,1234423808,,,
36096.16015625,36176.88671875,36071.2734375,36113.69921875,318529536,,,
36303.8359375,36303.8359375,36055.59765625,36096.76953125,125970432,,,
36385.24609375,36385.24609375,36258.83984375,36301.53125,178800640,,,
36446.34375,36473.81640625,36341.53125,36389.31640625,381511680,,,
36352.9921875,36489.95703125,36352.9921875,36435.73046875,112015360,,,
36532.703125,36560.74609375,36368.953125,36368.953125,236703744,,,
36467.7265625,36570.5859375,36457.5625,36524.76953125,10285056,,,
36553.46484375,36554.21875,36421.48046875,36453.8359375,137273344,,,
36673.06640625,36686.83203125,36517.27734375,36560.84375,313221120,,,
36691.83984375,36760.04296875,36579.53515625,36697.796875,308674560,,,
36463.875,36677.71484375,36463.875,36676.9140625,63428608,,,
36569.05859375,36590.34375,36464.36328125,36469.51953125,116330496,,,
36629.6640625,36636.59765625,36478.265625,36570.01171875,98768896,,,
36407.57421875,36655.0859375,36308.77734375,36619.09375,0,,,
36468.26171875,36615.875,36255.28515625,36399.73046875,0,,,
36450.00390625,36578.58984375,36397.3046875,36493.75390625,0,,,
36571.15625,36639.04296875,36467.04296875,36468.89453125,0,,,
37202.46875,37221.5625,36577.64453125,36581.59375,1096816640,,,
37292.49609375,37431.46875,37142.34765625,37201.0703125,680187904,,,
37615.51171875,37615.51171875,37242.80859375,37300.1640625,158828544,,,
37626.7734375,37856.98046875,37551.703125,37630.234375,976982016,,,
37468.59375,37759.9921875,37397.5546875,37633.296875,0,,,
37449.4453125,37471.859375,37260.23046875,37463.3125,0,,,
37327.25,37541.60546875,37312.31640625,37420.43359375,0,,,
37433.73046875,37483.48828125,37320.29296875,37320.29296875,0,,,
37356.37890625,37443.71875,37342.35546875,37425.34375,0,,,
37314.75390625,37382.57421875,37275.83984375,37348.5,0,,,
37358.2109375,37411.34765625,37286.91796875,37312.28125,0,,,
37333.78125,37410.48046875,37317.96875,37352.75390625,0,,,
37289.2890625,37342.63671875,37279.16015625,37333.0,0,,,
37357.93359375,37375.2578125,37282.87890625,37282.87890625,0,,,
37501.15625,37501.15625,37370.46875,37371.62109375,23478272,,,
37630.73828125,37635.88671875,37461.7890625,37506.98046875,0,,,
37470.61328125,37643.91796875,37462.75,37643.91796875,0,,,
37364.66796875,37467.609375,37221.51953125,37467.078125,251367424,,,
37286.328125,37512.01953125,37273.875,37371.26171875,45498368,,,
37254.9375,37388.171875,37233.5,37293.9375,0,,,
37202.46484375,37307.80078125,37151.2421875,37247.77734375,0,,,
36970.06640625,37244.87109375,36923.86328125,37206.48828125,0,,,
37088.0703125,37161.59765625,36948.5625,36968.77734375,0,,,
37168.984375,37222.75,37084.33984375,37084.33984375,0,,,
37265.99609375,37286.375,37174.2890625,37174.2890625,0,,,
37287.984375,37331.421875,37199.91015625,37267.296875,0,,,
37299.5703125,37376.70703125,37288.80859375,37288.80859375,0,,,
37254.35546875,37374.27734375,37251.09765625,37287.9453125,0,,,
37308.6640625,37308.6640625,37223.1484375,37254.15234375,0,,,
37295.42578125,37385.21875,37276.6328125,37306.20703125,0,,,
37293.8359375,37338.79296875,37261.60546875,37296.31640625,0,,,
37394.4921875,37485.515625,37296.96875,37296.96875,296478720,,,
37401.41796875,37439.71875,37342.234375,37399.77734375,0,,,
37329.8046875,37395.94921875,37329.28515625,37390.078125,0,,,
37358.87109375,37360.65234375,37314.328125,37325.5625,0,,,
37422.890625,37422.890625,37313.984375,37358.26953125,0,37756.734375,37811.46484375,37830.01953125
37384.94921875,37430.24609375,37376.29296875,37430.24609375,0,37768.28515625,37823.91796875,37841.01171875
37551.71875,37551.71875,37369.91796875,37389.546875,103267328,37775.5625,37832.8359375,37849.64453125
37442.54296875,37562.015625,37434.2890625,37538.23046875,63434752,37800.6640625,37859.53515625,37870.25
37592.32421875,37706.78515625,37448.31640625,37456.953125,457317376,37812.7421875,37877.08203125,37885.1875
37596.34765625,37912.8515625,37596.34765625,37604.59375,1089754112,37837.25,37906.0625,37908.15625
37748.61328125,37978.23046875,37586.796875,37596.26953125,901992448,37861.203125,37936.55859375,37933.15625
37729.5234375,37965.76171875,37726.07421875,37774.984375,609341440,37899.203125,37982.01171875,37968.97265625
37772.59765625,37843.875,37649.7421875,37724.42578125,473196544,37931.7421875,38025.15234375,38004.4765625
37799.4140625,37809.09765625,37637.98046875,37769.2265625,133609472,37962.3671875,38065.875,38039.40625
38203.79296875,38415.33984375,37799.32421875,37803.140625,2014095360,37990.890625,38102.71484375,38072.9453125
37725.2265625,38360.30859375,37619.140625,38248.87109375,1332418560,38064.39453125,38183.2890625,38137.28125
37850.5859375,37926.42578125,37686.05078125,37744.96875,938489856,38077.82421875,38212.21875,38167.69921875
37700.65625,37898.5234375,37612.90234375,37861.81640625,352129024,38089.5859375,38228.06640625,38189.390625
37787.60546875,37799.85546875,37659.52734375,37730.71875,175843328,38082.97265625,38217.640625,38193.75390625
