Close,High,Low,Open,Volume,predict_t1,predict_t3,predict_t8
184.76609802246094,186.02999877929688,184.2100067138672,185.82000732421875,11087334,,,
184.9600067138672,185.13999938964844,184.38999938964844,184.77000427246094,5748681,,,
184.56500244140625,185.13499450683594,184.5,184.9600067138672,5079289,,,
184.55999755859375,184.92990112304688,184.38999938964844,184.57000732421875,2665925,,,
184.99009704589844,185.00999450683594,184.4600067138672,184.57000732421875,2982413,,,
184.9499969482422,185.0800018310547,184.7299041748047,184.99000549316406,3878074,,,
184.77000427246094,185.00999450683594,184.61050415039062,184.9600067138672,4422642,,,
187.4499969482422,187.52000427246094,186.3000030517578,187.33999633789062,16941276,,,
186.9259033203125,187.47999572753906,186.67999267578125,187.44000244140625,5319775,,,
187.05499267578125,187.22000122070312,186.41000366210938,186.9250030517578,4868237,,,
187.4600067138672,187.5,187.00999450683594,187.05999755859375,3663476,,,
187.4136962890625,187.49000549316406,186.82000732421875,187.4600067138672,4558716,,,
187.91200256347656,188.11000061035156,187.4149932861328,187.4149932861328,7317327,,,
187.44000244140625,188.02999877929688,187.2100067138672,187.9199981689453,6872181,,,
188.14999389648438,188.6999969482422,187.8000030517578,187.84500122070312,11861855,,,
189.4149932861328,189.5,188.11000061035156,188.16000366210938,8051018,,,
189.1199951171875,189.4499053955078,188.52999877929688,189.4149932861328,5324873,,,
189.03500366210938,189.1699981689453,188.46499633789062,189.1199951171875,4164889,,,
188.77000427246094,189.0800018310547,188.39999389648438,189.031005859375,4508244,,,
188.19500732421875,188.77999877929688,187.9550018310547,188.77000427246094,3069538,,,
188.08999633789062,188.55999755859375,187.77999877929688,188.1999969482422,5901858,,,
190.0854034423828,190.9600067138672,189.63999938964844,189.92999267578125,18705132,,,
189.00999450683594,190.2100067138672,188.80999755859375,190.10000610351562,6893426,,,
189.64500427246094,189.66000366210938,188.72000122070312,189.00999450683594,4821908,,,
189.3300018310547,189.97999572753906,188.64999389648438,189.63999938964844,3843638,,,
189.35499572753906,189.57000732421875,188.97999572753906,189.3249969482422,3451913,,,
189.4250030517578,189.73500061035156,189.22000122070312,189.35000610351562,4436262,,,
189.76890563964844,189.8699951171875,189.33999633789062,189.4250030517578,5829780,,,
189.5800018310547,190.3800048828125,188.57000732421875,190.25,14964688,,,
