Close,High,Low,Open,Volume,predict_t1,predict_t3,predict_t8
366.5,368.4700012207031,365.8999938964844,368.2200012207031,5295841,,,
368.0,368.3599853515625,366.3500061035156,366.4700012207031,2645653,,,
367.3597106933594,368.20001220703125,366.92999267578125,367.9700012207031,2087703,,,
367.18218994140625,367.6650085449219,366.989990234375,367.36981201171875,1060211,,,
367.5199890136719,368.010009765625,366.9237976074219,367.2099914550781,1381345,,,
366.69000244140625,367.6400146484375,366.6400146484375,367.5299987792969,2251325,,,
366.6600036621094,367.1158142089844,366.29998779296875,366.70001220703125,2365141,,,
371.1000061035156,371.95001220703125,369.32000732421875,370.7049865722656,6207513,,,
370.7900085449219,371.8900146484375,370.4599914550781,371.1400146484375,2152666,,,
369.2900085449219,370.95001220703125,368.4599914550781,370.8399963378906,3297200,,,
370.239990234375,370.3599853515625,369.05999755859375,369.30999755859375,1651318,,,
369.1300048828125,370.4700012207031,367.34539794921875,370.2699890136719,2925596,,,
370.8599853515625,371.0299987792969,369.17999267578125,369.17999267578125,2816386,,,
370.32000732421875,371.3299865722656,369.70001220703125,370.8599853515625,3256303,,,
370.5050048828125,373.1300048828125,369.6199951171875,371.2799987792969,5122435,,,
370.2900085449219,370.6000061035156,368.4200134277344,370.5224914550781,3524936,,,
369.2900085449219,371.0400085449219,368.70001220703125,370.30999755859375,2376587,,,
368.6781921386719,369.32501220703125,367.1099853515625,369.29998779296875,2566220,,,
370.2915954589844,370.3013916015625,368.3699951171875,368.6499938964844,2922866,,,
369.8682861328125,370.3800048828125,369.3699951171875,370.29998779296875,2004642,,,
369.6499938964844,370.239990234375,369.2200012207031,369.8999938964844,2939555,,,
374.94000244140625,376.07000732421875,370.8800048828125,371.3205871582031,7466668,,,
372.9862060546875,375.260009765625,372.4100036621094,374.9800109863281,3300961,,,
375.07000732421875,375.2585144042969,372.5400085449219,373.0,2474292,,,
375.8999938964844,375.9100036621094,374.80999755859375,375.04998779296875,2034127,,,
375.1300048828125,376.29998779296875,375.0450134277344,375.8999938964844,2048820,,,
375.5899963378906,376.127197265625,375.1099853515625,375.1400146484375,1828325,,,
376.2099914550781,376.3500061035156,375.3299865722656,375.6199951171875,3103707,,,
371.4599914550781,374.3699951171875,370.4435119628906,373.6099853515625,8703435,,,
370.9259033203125,371.44500732421875,369.2099914550781,371.42999267578125,3554565,,,
371.80999755859375,372.6499938964844,370.5,370.92999267578125,2776992,,,
372.2449951171875,372.4800109863281,371.6600036621094,371.79998779296875,1534894,,,
372.6600036621094,373.3999938964844,371.8599853515625,372.260009765625,1861001,,,
371.5799865722656,373.19000244140625,371.3299865722656,372.69000244140625,2635415,,,
369.9200134277344,371.70001220703125,367.0,371.57000732421875,11695336,,,
372.9336853027344,377.1000061035156,371.0,371.2200012207031,19395494,,,
375.3399963378906,375.6199951171875,372.2699890136719,372.9599914550781,4533808,,,
376.7099914550781,377.0199890136719,374.9700012207031,375.3500061035156,4570948,,,
378.5400085449219,378.80999755859375,376.3500061035156,376.7200012207031,4649339,,,
377.6499938964844,378.760009765625,376.8772888183594,378.5400085449219,3384865,,,
377.9700012207031,378.8699951171875,377.42999267578125,377.67999267578125,3786893,,,
377.6099853515625,378.22039794921875,377.20001220703125,377.9700012207031,4810206,,,
371.739990234375,376.22149658203125,371.4800109863281,375.6700134277344,7744229,,,
372.05999755859375,372.70001220703125,371.1199951171875,371.75,3437902,,,
373.1050109863281,373.1610107421875,371.4119873046875,372.0299987792969,2388471,,,
371.69000244140625,373.5299987792969,371.1400146484375,373.1099853515625,3314702,,,
372.2699890136719,372.94989013671875,371.5799865722656,371.70001220703125,1700655,,,
372.45001220703125,373.1099853515625,372.1700134277344,372.30499267578125,1984485,,,
373.07000732421875,373.25,372.2381896972656,372.45001220703125,2479515,,,
376.95001220703125,379.7898864746094,374.9649963378906,378.0,8427544,,,
378.1199951171875,378.3599853515625,376.95001220703125,376.9700012207031,2843232,,,
378.67498779296875,379.0,377.9100036621094,378.1600036621094,1943535,,,
378.8500061035156,379.2200012207031,378.010009765625,378.69000244140625,2050537,,,
378.69000244140625,379.1600036621094,378.2850036621094,378.9100036621094,1339166,,,
377.95001220703125,378.6795959472656,376.8500061035156,378.6499938964844,1952496,,,
377.8800048828125,378.2900085449219,377.601806640625,377.9399108886719,1618525,,,
375.989990234375,377.9700012207031,375.9100036621094,377.3299865722656,3580317,,,
376.1199951171875,376.4479064941406,375.135009765625,375.9700012207031,1762503,,,
376.7699890136719,376.8500061035156,375.6300048828125,376.1000061035156,1411854,,,
376.9599914550781,378.17999267578125,376.20001220703125,377.9700012207031,4261920,,,
377.7149963378906,378.1449890136719,376.94000244140625,376.9599914550781,1855792,377.4089660644531,377.420654296875,376.8827209472656
379.8399963378906,379.9100036621094,377.6322937011719,377.70001220703125,2418562,377.9277038574219,377.8791198730469,377.2862854003906
379.9200134277344,380.6400146484375,379.5799865722656,379.8500061035156,2751251,379.3783874511719,379.1045227050781,378.2330017089844
379.17999267578125,380.0505065917969,378.9599914550781,379.92999267578125,1415429,379.9165344238281,379.6997985839844,379.01318359375
378.9801025390625,379.29998779296875,378.2300109863281,379.2099914550781,1658681,379.402587890625,379.3981628417969,379.24383544921875
378.6050109863281,379.2998962402344,378.3999938964844,379.0,2419740,378.96478271484375,379.03753662109375,379.1525573730469
381.14990234375,381.9700012207031,378.1600036621094,378.3500061035156,5335822,378.68682861328125,378.78363037109375,378.8722839355469
382.54998779296875,382.7699890136719,380.95001220703125,381.1099853515625,2777953,380.3492431640625,380.1159973144531,379.3761291503906
