,Ticker,Open,High,Low,Close,Volume,Next_Close,Predicted_Close
193,AAPL,196.5500030517578,196.9499969482422,196.27749633789062,196.60000610351562,4831194.0,196.22999572753906,176.75413513183594
194,AAPL,196.59500122070312,196.74000549316406,195.97000122070312,196.22999572753906,3463432.0,196.2449951171875,176.75401306152344
195,AAPL,196.22999572753906,196.3300018310547,195.97000122070312,196.2449951171875,2379955.0,196.07000732421875,176.7553253173828
196,AAPL,196.25,196.2899932861328,195.99000549316406,196.07000732421875,2263009.0,196.4499969482422,176.75607299804688
197,AAPL,196.0800018310547,196.47000122070312,195.97999572753906,196.4499969482422,2992125.0,196.92999267578125,176.7567901611328
198,AAPL,196.4499969482422,196.9499969482422,196.3249969482422,196.92999267578125,4003318.0,197.38499450683594,176.75653076171875
199,AAPL,196.92999267578125,197.67999267578125,196.69000244140625,197.38499450683594,9234134.0,197.22999572753906,176.75523376464844
200,AAPL,197.38499450683594,197.59500122070312,197.13999938964844,197.22999572753906,4183100.0,197.35830688476562,176.75363159179688
201,AAPL,197.22999572753906,197.44000244140625,197.00999450683594,197.35830688476562,3204045.0,197.39999389648438,176.7537078857422
202,AAPL,197.35000610351562,197.45260620117188,197.2230987548828,197.39999389648438,2564829.0,197.18499755859375,176.75440979003906
203,AAPL,197.41000366210938,197.57000732421875,197.11500549316406,197.18499755859375,3246347.0,195.1999969482422,176.755126953125
204,AAPL,197.19000244140625,197.23500061035156,195.16000366210938,195.1999969482422,8708764.0,194.83999633789062,176.7561798095703
205,AAPL,195.2100067138672,195.75,194.83999633789062,194.83999633789062,7046047.0,195.12969970703125,176.7611541748047
206,AAPL,196.10000610351562,197.0800018310547,194.82000732421875,195.12969970703125,9854488.0,194.86000061035156,176.76316833496094
207,AAPL,195.1300048828125,195.1999969482422,194.2899932861328,194.86000061035156,5694052.0,194.0399932861328,176.76007080078125
208,AAPL,194.86000061035156,194.97000122070312,193.91000366210938,194.0399932861328,4574715.0,194.05999755859375,176.76327514648438
209,AAPL,194.0500030517578,194.25999450683594,193.5,194.05999755859375,4316193.0,194.0,176.7643280029297
210,AAPL,194.07000732421875,194.24000549316406,193.77000427246094,194.0,3625960.0,194.4051055908203,176.7657928466797
211,AAPL,193.9949951171875,194.4199981689453,193.75999450683594,194.4051055908203,4415883.0,194.67999267578125,176.76564025878906
212,AAPL,194.41000366210938,194.97999572753906,194.3321075439453,194.67999267578125,5015136.0,194.6649932861328,176.7646026611328
213,AAPL,195.17999267578125,195.41000366210938,194.4250030517578,194.6649932861328,7689027.0,194.1750030517578,176.7625274658203
214,AAPL,194.6649932861328,194.74119567871094,194.00999450683594,194.1750030517578,4730474.0,194.0500030517578,176.76123046875
215,AAPL,194.1699981689453,194.35000610351562,193.83999633789062,194.0500030517578,3433322.0,194.1300048828125,176.7632598876953
216,AAPL,194.05999755859375,194.4600067138672,193.9499969482422,194.1300048828125,3020351.0,193.1195068359375,176.76417541503906
217,AAPL,194.125,194.2949981689453,193.0800018310547,193.1195068359375,3592914.0,193.97999572753906,176.76368713378906
218,AAPL,193.11500549316406,193.97999572753906,192.97000122070312,193.97999572753906,4274216.0,193.52999877929688,176.76544189453125
219,AAPL,193.97500610351562,193.99000549316406,193.48500061035156,193.52999877929688,4377805.0,193.07000732421875,176.76416015625
