,Ticker,Open,High,Low,Close,Volume,Next_Close,Predicted_Close,price_t_plus_3,Predicted_Close_t_3
973,TSLA,178.38999938964844,179.9499969482422,178.2899932861328,179.51589965820312,8086079.0,178.94000244140625,175.7595977783203,177.5399932861328,176.3287811279297
974,TSLA,179.52499389648438,180.28500366210938,178.625,178.94000244140625,6621663.0,178.8300018310547,175.84375,175.4499969482422,176.73707580566406
975,TSLA,178.9250030517578,179.17999267578125,177.52000427246094,178.8300018310547,4255283.0,177.5399932861328,176.7865447998047,174.81350708007812,177.7217559814453
976,TSLA,178.4199981689453,180.32000732421875,176.8583984375,177.5399932861328,18274811.0,175.4499969482422,177.8332061767578,175.94000244140625,178.9546661376953
977,TSLA,177.47999572753906,177.48989868164062,175.1199951171875,175.4499969482422,9980867.0,174.81350708007812,175.15122985839844,175.6699981689453,177.1722869873047
978,TSLA,175.4698944091797,175.6999969482422,173.82009887695312,174.81350708007812,7993642.0,175.94000244140625,173.8277130126953,175.69000244140625,176.0117645263672
979,TSLA,174.8000030517578,176.0500030517578,174.60009765625,175.94000244140625,5493957.0,175.6699981689453,173.29539489746094,178.05999755859375,174.69979858398438
980,TSLA,175.95880126953125,176.33999633789062,175.52000427246094,175.6699981689453,4178140.0,175.69000244140625,173.1895751953125,180.4149932861328,175.5100555419922
981,TSLA,175.6656951904297,176.27999877929688,175.3800048828125,175.69000244140625,4355551.0,178.05999755859375,174.588623046875,179.0500030517578,176.78099060058594
982,TSLA,175.6699981689453,178.27000427246094,175.55999755859375,178.05999755859375,6579300.0,180.4149932861328,175.36216735839844,176.35000610351562,177.45965576171875
983,TSLA,178.35000610351562,182.63890075683594,177.25,180.4149932861328,23619345.0,179.0500030517578,175.51617431640625,175.79139709472656,178.39610290527344
984,TSLA,180.42999267578125,180.63999938964844,178.1300048828125,179.0500030517578,9383241.0,176.35000610351562,176.3633270263672,176.38600158691406,178.61013793945312
985,TSLA,179.05999755859375,179.92999267578125,176.2899932861328,176.35000610351562,8866013.0,175.79139709472656,176.53115844726562,176.57400512695312,179.82693481445312
986,TSLA,176.33999633789062,176.61000061035156,174.49000549316406,175.79139709472656,9076381.0,176.38600158691406,176.7645263671875,176.3800048828125,177.9825897216797
987,TSLA,175.7899932861328,176.8300018310547,175.57009887695312,176.38600158691406,6348837.0,176.57400512695312,173.9404754638672,174.97000122070312,175.085693359375
988,TSLA,176.38999938964844,176.80810546875,175.74000549316406,176.57400512695312,4831062.0,176.3800048828125,173.54217529296875,176.05999755859375,175.5353240966797
989,TSLA,176.60000610351562,176.64999389648438,175.56100463867188,176.3800048828125,3717740.0,174.97000122070312,174.73497009277344,175.64999389648438,176.5944061279297
990,TSLA,174.77499389648438,177.0800018310547,174.00999450683594,174.97000122070312,21893898.0,176.05999755859375,175.86669921875,175.66050720214844,177.54666137695312
991,TSLA,174.9176025390625,176.41000366210938,174.66580200195312,176.05999755859375,9400785.0,175.64999389648438,172.97630310058594,176.80999755859375,174.53756713867188
992,TSLA,176.05999755859375,176.3300018310547,174.69009399414062,175.64999389648438,5713011.0,175.66050720214844,172.68545532226562,175.74000549316406,175.3411407470703
993,TSLA,175.6949005126953,175.97000122070312,175.00999450683594,175.66050720214844,3926127.0,176.80999755859375,174.32022094726562,174.72000122070312,175.89051818847656
994,TSLA,175.7100067138672,176.85000610351562,175.1501007080078,176.80999755859375,4339850.0,175.74000549316406,174.76718139648438,173.9300994873047,176.39089965820312
995,TSLA,176.8300018310547,177.7550048828125,175.5500030517578,175.74000549316406,7684661.0,174.72000122070312,175.55172729492188,175.09010314941406,177.1471405029297
996,TSLA,175.72000122070312,175.77999877929688,174.7100067138672,174.72000122070312,4660211.0,173.9300994873047,174.66464233398438,175.5312957763672,177.1129608154297
997,TSLA,175.27999877929688,175.30999755859375,172.1300048828125,173.9300994873047,20028018.0,175.09010314941406,174.78004455566406,175.5500030517578,177.01126098632812
998,TSLA,173.9499969482422,175.19769287109375,173.6699981689453,175.09010314941406,9141849.0,175.5312957763672,171.87705993652344,174.9001007080078,174.12901306152344
999,TSLA,175.1042938232422,175.99000549316406,175.0699005126953,175.5312957763672,7481746.0,175.5500030517578,171.5311737060547,174.70179748535156,175.3331298828125
1000,TSLA,175.5500030517578,176.14990234375,175.1800994873047,175.5500030517578,4811381.0,174.9001007080078,173.35935974121094,174.9600067138672,175.5566864013672
1001,TSLA,175.5500030517578,175.6199951171875,174.60000610351562,174.9001007080078,4620664.0,174.70179748535156,174.10003662109375,173.77999877929688,176.3531036376953
1002,TSLA,174.89999389648438,175.49000549316406,174.5800018310547,174.70179748535156,4314752.0,174.9600067138672,174.58541870117188,174.4398956298828,176.43838500976562
1003,TSLA,174.72000122070312,175.22000122070312,174.52000427246094,174.9600067138672,3624987.0,173.77999877929688,174.73924255371094,175.89999389648438,176.6116485595703
1004,TSLA,174.4199981689453,176.9199981689453,172.72999572753906,173.77999877929688,18902092.0,174.4398956298828,175.29991149902344,177.99009704589844,177.27239990234375
1005,TSLA,173.77999877929688,174.66940307617188,173.35000610351562,174.4398956298828,7315477.0,175.89999389648438,172.66143798828125,178.2899932861328,175.17666625976562
1006,TSLA,174.42999267578125,175.97999572753906,174.35000610351562,175.89999389648438,6857842.0,177.99009704589844,172.3790740966797,178.58999633789062,175.41812133789062
1007,TSLA,175.90989685058594,178.23500061035156,175.7899932861328,177.99009704589844,11637453.0,178.2899932861328,173.6488800048828,177.94000244140625,175.92771911621094
1008,TSLA,178.01809692382812,179.72999572753906,177.9199981689453,178.2899932861328,10403777.0,178.58999633789062,173.8527374267578,178.389892578125,176.53402709960938
1009,TSLA,178.30189514160156,178.64999389648438,177.6300048828125,178.58999633789062,5898321.0,177.94000244140625,174.7718048095703,178.33999633789062,177.7547607421875
1010,TSLA,178.57000732421875,179.08619689941406,177.82000732421875,177.94000244140625,5846036.0,178.389892578125,175.9485626220703,178.4582061767578,179.0882568359375
1011,TSLA,176.14999389648438,179.13999938964844,175.94000244140625,178.389892578125,17602305.0,178.33999633789062,176.40109252929688,177.49000549316406,179.4750518798828
1012,TSLA,178.35009765625,179.35000610351562,177.5800018310547,178.33999633789062,9481418.0,178.4582061767578,174.71109008789062,176.25,177.03553771972656
1013,TSLA,178.33999633789062,178.86000061035156,178.0500946044922,178.4582061767578,5874835.0,177.49000549316406,175.00244140625,177.3300018310547,178.17227172851562
